Primary Type,Location Description,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10
AGG. ASSAULT,0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,,1.0,4.0,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,2.0,2.0,4.0,,2.0,1.0,,3.0,,2.0,2.0,,3.0,4.0,,2.0,2.0,,1.0,,1.0,4.0,1.0,1.0,,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,,
AGG. ASSAULT,Inside,35.0,10.0,23.0,19.0,28.0,17.0,22.0,28.0,20.0,16.0,30.0,18.0,26.0,11.0,28.0,18.0,18.0,22.0,18.0,26.0,17.0,25.0,26.0,20.0,26.0,27.0,16.0,29.0,28.0,17.0,14.0,31.0,26.0,16.0,18.0,34.0,25.0,14.0,21.0,16.0,20.0,13.0,20.0,28.0,27.0,17.0,11.0,24.0,35.0,15.0,18.0,13.0,35.0,24.0,32.0,26.0,29.0,24.0,18.0,26.0,15.0,31.0,23.0,16.0,33.0,27.0,31.0,18.0,22.0,22.0
AGG. ASSAULT,Outside,34.0,24.0,66.0,52.0,59.0,40.0,62.0,37.0,52.0,47.0,36.0,42.0,37.0,28.0,28.0,44.0,54.0,41.0,45.0,47.0,55.0,44.0,51.0,48.0,57.0,23.0,27.0,45.0,61.0,61.0,62.0,75.0,43.0,28.0,16.0,40.0,39.0,16.0,33.0,26.0,48.0,46.0,67.0,48.0,41.0,42.0,60.0,40.0,53.0,24.0,33.0,53.0,129.0,82.0,115.0,85.0,65.0,64.0,60.0,48.0,50.0,37.0,63.0,58.0,100.0,85.0,96.0,105.0,88.0,79.0
HOMICIDE,Inside,5.0,1.0,3.0,3.0,,2.0,4.0,,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,1.0,,5.0,4.0,6.0,3.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,6.0,1.0,2.0,6.0,3.0,3.0,3.0,8.0,,6.0,5.0,2.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,1.0,,5.0,,2.0,4.0
HOMICIDE,Outside,9.0,5.0,8.0,17.0,11.0,12.0,15.0,9.0,13.0,12.0,7.0,6.0,6.0,7.0,17.0,18.0,15.0,11.0,10.0,10.0,20.0,14.0,12.0,9.0,11.0,7.0,12.0,8.0,14.0,21.0,13.0,9.0,18.0,16.0,17.0,14.0,22.0,5.0,2.0,6.0,16.0,14.0,11.0,16.0,15.0,7.0,9.0,11.0,14.0,8.0,9.0,15.0,31.0,22.0,34.0,27.0,22.0,29.0,24.0,20.0,6.0,17.0,16.0,25.0,21.0,26.0,26.0,21.0,17.0,22.0
ROBBERY - CARJACKING,0,,,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,2.0,,2.0,,,,,1.0,,1.0,,,,,,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,2.0,,,,,,1.0,,,,
ROBBERY - CARJACKING,Inside,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,2.0,,,,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,2.0,,,3.0,,3.0,,,1.0,1.0
ROBBERY - CARJACKING,Outside,4.0,6.0,9.0,5.0,8.0,14.0,8.0,13.0,16.0,18.0,6.0,10.0,5.0,5.0,12.0,6.0,8.0,9.0,11.0,19.0,14.0,4.0,8.0,10.0,7.0,4.0,9.0,7.0,4.0,5.0,10.0,12.0,1.0,7.0,4.0,6.0,6.0,6.0,7.0,3.0,11.0,8.0,6.0,10.0,7.0,9.0,15.0,19.0,14.0,4.0,9.0,18.0,15.0,11.0,29.0,16.0,13.0,16.0,19.0,34.0,17.0,11.0,8.0,25.0,20.0,17.0,31.0,16.0,25.0,30.0
ROBBERY - COMMERCIAL,0,8.0,2.0,2.0,,,1.0,2.0,,,1.0,1.0,1.0,3.0,,2.0,,1.0,,1.0,,3.0,,1.0,2.0,,,1.0,,,,,,1.0,,1.0,,3.0,,,,2.0,,,,1.0,1.0,,1.0,,,,,,3.0,,3.0,1.0,,,,,,,,1.0,,,,,
ROBBERY - COMMERCIAL,Inside,36.0,14.0,42.0,18.0,15.0,19.0,27.0,37.0,19.0,31.0,40.0,32.0,21.0,12.0,31.0,17.0,31.0,24.0,19.0,21.0,23.0,29.0,30.0,33.0,45.0,24.0,10.0,17.0,23.0,26.0,19.0,14.0,16.0,28.0,27.0,37.0,19.0,22.0,19.0,15.0,28.0,27.0,20.0,26.0,26.0,45.0,40.0,50.0,56.0,16.0,27.0,20.0,52.0,58.0,58.0,46.0,35.0,30.0,50.0,41.0,37.0,24.0,34.0,28.0,40.0,30.0,33.0,31.0,36.0,34.0
ROBBERY - COMMERCIAL,Outside,5.0,5.0,6.0,2.0,5.0,3.0,3.0,7.0,4.0,6.0,12.0,3.0,9.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,1.0,5.0,5.0,2.0,3.0,,2.0,2.0,4.0,3.0,3.0,1.0,3.0,,4.0,6.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,3.0,1.0,4.0,6.0,5.0,4.0,4.0,6.0,3.0,8.0,3.0,2.0,7.0,8.0,5.0,6.0,3.0,1.0,7.0,8.0,6.0,3.0,,7.0,7.0
ROBBERY - RESIDENCE,0,1.0,1.0,,,,2.0,1.0,,,,2.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,4.0,3.0,1.0,,,,1.0,,,,,,1.0,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
ROBBERY - RESIDENCE,Inside,30.0,13.0,13.0,12.0,24.0,19.0,18.0,22.0,11.0,8.0,16.0,24.0,21.0,8.0,8.0,13.0,9.0,21.0,12.0,18.0,12.0,21.0,26.0,21.0,12.0,17.0,18.0,7.0,21.0,15.0,21.0,12.0,12.0,13.0,25.0,16.0,32.0,2.0,5.0,6.0,5.0,13.0,6.0,11.0,17.0,18.0,9.0,17.0,22.0,2.0,15.0,10.0,16.0,18.0,12.0,13.0,5.0,7.0,7.0,10.0,19.0,4.0,13.0,7.0,18.0,12.0,12.0,19.0,5.0,12.0
ROBBERY - RESIDENCE,Outside,,,2.0,,2.0,,,,,2.0,,,1.0,,,,1.0,,,,,2.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,5.0,,
ROBBERY - STREET,0,,3.0,3.0,1.0,,1.0,,6.0,1.0,2.0,1.0,1.0,2.0,1.0,,3.0,,2.0,,1.0,1.0,,,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,4.0,1.0,,3.0,,,,,,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,2.0,,,,2.0,,,,,1.0,1.0,1.0,,,,1.0
ROBBERY - STREET,Inside,11.0,8.0,2.0,14.0,8.0,3.0,6.0,8.0,18.0,11.0,6.0,10.0,7.0,2.0,6.0,2.0,7.0,7.0,9.0,9.0,8.0,7.0,3.0,10.0,15.0,10.0,6.0,5.0,8.0,8.0,4.0,13.0,10.0,9.0,4.0,17.0,10.0,10.0,4.0,6.0,8.0,5.0,7.0,4.0,15.0,3.0,9.0,20.0,9.0,7.0,2.0,2.0,13.0,12.0,13.0,8.0,10.0,9.0,9.0,11.0,6.0,15.0,16.0,11.0,12.0,11.0,9.0,6.0,12.0,13.0
ROBBERY - STREET,Outside,81.0,47.0,42.0,72.0,73.0,55.0,102.0,114.0,115.0,108.0,92.0,87.0,90.0,51.0,59.0,56.0,72.0,91.0,101.0,93.0,75.0,106.0,107.0,128.0,78.0,63.0,75.0,108.0,60.0,81.0,67.0,109.0,81.0,82.0,80.0,120.0,85.0,56.0,51.0,51.0,86.0,94.0,74.0,121.0,91.0,111.0,120.0,118.0,74.0,59.0,70.0,90.0,152.0,136.0,174.0,137.0,112.0,127.0,121.0,152.0,134.0,69.0,84.0,119.0,141.0,108.0,141.0,156.0,123.0,165.0
SHOOTING,Inside,7.0,2.0,5.0,8.0,6.0,5.0,4.0,2.0,7.0,6.0,4.0,5.0,5.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,4.0,8.0,3.0,5.0,9.0,1.0,8.0,10.0,6.0,4.0,3.0,4.0,2.0,3.0,8.0,3.0,,8.0,3.0,6.0,1.0,7.0,5.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,3.0,10.0,4.0,6.0,6.0,5.0,4.0,6.0,14.0,8.0,10.0,2.0,6.0,9.0,8.0,4.0,4.0,3.0,3.0
SHOOTING,Outside,22.0,14.0,33.0,35.0,35.0,24.0,31.0,34.0,25.0,20.0,20.0,25.0,25.0,16.0,20.0,24.0,34.0,29.0,33.0,24.0,29.0,27.0,22.0,29.0,29.0,6.0,13.0,26.0,29.0,52.0,40.0,53.0,28.0,13.0,15.0,34.0,26.0,9.0,13.0,20.0,32.0,30.0,42.0,42.0,25.0,27.0,28.0,31.0,29.0,13.0,23.0,35.0,91.0,63.0,76.0,66.0,52.0,39.0,45.0,35.0,28.0,23.0,46.0,37.0,77.0,64.0,62.0,57.0,66.0,49.0
